"2019/06/20","CSV-5e0f73b177ec8","CH2012369 2019-06-20","Indtægter:Onlinesalg","","-4160.368",""," Filename: ch2012369_20190620_20190620-5e0f73b177ec8.trans\n TransID: 1"
"2019/06/20","CSV-5e0f73b177ec8","CH2012369 2019-06-20","Passiver:Moms:Salgsmoms","","-1040.092",""," Filename: ch2012369_20190620_20190620-5e0f73b177ec8.trans\n TransID: virt"
"2019/06/24","CSV-5e0f73b173542","VD GOOGLE*GSUITE MONVELI.","Egenkapital:Mellemregning","","-198.32",""," Filename: vd_googlegsuite_monveli._20190624-5e0f73b173542.trans\n TransID: 0"
"2019/06/24","CSV-5e0f73b173542","VD GOOGLE*GSUITE MONVELI.","Udgifter:Administration:Edb","","198.32",""," Filename: vd_googlegsuite_monveli._20190624-5e0f73b173542.trans\n TransID: 1"
"2019/06/24","CSV-5e0f73b174ed0","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190624-5e0f73b174ed0.trans\n TransID: 0"
"2019/06/24","CSV-5e0f73b174ed0","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190624-5e0f73b174ed0.trans\n TransID: 1"
"2019/06/24","CSV-5e0f73b176686","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-34.75",""," Filename: vd_shipmondocom_20190624-5e0f73b176686.trans\n TransID: 0"
"2019/06/24","CSV-5e0f73b176686","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","34.75",""," Filename: vd_shipmondocom_20190624-5e0f73b176686.trans\n TransID: 1"
"2019/06/26","CSV-5e0f73b16ea71","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190626-5e0f73b16ea71.trans\n TransID: 0"
"2019/06/26","CSV-5e0f73b16ea71","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190626-5e0f73b16ea71.trans\n TransID: 1"
"2019/06/26","CSV-5e0f73b17034f","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190626-5e0f73b17034f.trans\n TransID: 0"
"2019/06/26","CSV-5e0f73b17034f","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190626-5e0f73b17034f.trans\n TransID: 1"
"2019/06/27","CSV-5e0f73b168848","CH2012369 2019-06-27","Egenkapital:Mellemregning","","8880.54",""," Filename: ch2012369_20190627_20190627-5e0f73b168848.trans\n TransID: 0"
"2019/06/27","CSV-5e0f73b168848","CH2012369 2019-06-27","Indtægter:Onlinesalg","","-7104.432",""," Filename: ch2012369_20190627_20190627-5e0f73b168848.trans\n TransID: 1"
"2019/06/27","CSV-5e0f73b168848","CH2012369 2019-06-27","Passiver:Moms:Salgsmoms","","-1776.108",""," Filename: ch2012369_20190627_20190627-5e0f73b168848.trans\n TransID: virt"
